program,coefficient,standard_error,z_score,p_value,n_genes,q_value,n_program_genes,trait,level
MSN_211,-0.09985906058655798,0.2201760437733247,-0.4535418970892434,0.6501585813010038,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Astro_61,-0.10568250306500011,0.23326094044321868,-0.4530655791072135,0.6505015201543105,18506,0.9870074201167115,91,AD_FinnGen_R11,cluster
Vsmc_20,-0.10826181573787376,0.23914749735488844,-0.45269892821464963,0.6507655514456636,18506,0.9870074201167115,88,AD_FinnGen_R11,cluster
Splat_410,-0.10217662977988687,0.226355370402629,-0.4513991852640406,0.6517018704266734,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_423,-0.10184429652966532,0.22643786610980446,-0.44976707420630296,0.6528784014344723,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_349,-0.10107860581394096,0.22475303651283252,-0.44973068014583245,0.6529046464794508,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
LRL_322,-0.1222578375139275,0.2739996991606071,-0.4461969771808585,0.6554549662595822,18506,0.9870074201167115,65,AD_FinnGen_R11,cluster
ULIT_123,-0.10619205309814007,0.23822944052696315,-0.4457553729011973,0.6557739612672351,18506,0.9870074201167115,84,AD_FinnGen_R11,cluster
Amex_174,-0.09839263108442227,0.22119722811616732,-0.44481855366084827,0.6564508850790575,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_370,-0.0987540733299042,0.2222327980015478,-0.4443721818649667,0.6567735222390034,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_247,-0.10029556440925065,0.2261600947828773,-0.4434715350890633,0.6574247037728165,18506,0.9870074201167115,98,AD_FinnGen_R11,cluster
DLNP_91,-0.10707817829962608,0.24215622167122064,-0.44218636036123754,0.6583543553024456,18506,0.9870074201167115,81,AD_FinnGen_R11,cluster
MGE_252,-0.09939976428634537,0.22547148665736855,-0.4408529245092327,0.6593194758640744,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_98,-0.09715670114181836,0.22069839652758008,-0.44022386510486927,0.6597749765808075,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Thex_372,-0.09891570566495868,0.22508423388995927,-0.43946083630769656,0.6603276535861031,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Misc_176,-0.13185991116178136,0.3000517340214158,-0.43945725423593135,0.6603302485895879,18506,0.9870074201167115,56,AD_FinnGen_R11,cluster
Splat_339,-0.09639726055906148,0.2194763615183551,-0.43921477416600807,0.6605059208495587,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLIT_146,-0.0980236444518667,0.2232556260297156,-0.4390650213169527,0.6606144233245753,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_102,-0.09629370166278996,0.2208094938105259,-0.43609402839091005,0.6627685096294359,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLIT_137,-0.09624299054527649,0.22131638968900202,-0.43486607874147487,0.6636596377967277,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
EMSN_426,-0.09691718931239318,0.22293203698688394,-0.43473872406277453,0.6637520868781955,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
